Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
2023-05-30,RE,Everest Re Group,4,1.65,0.0178861788617886,2023-05-18,2023-05-31,2023-06-16
2023-05-30,UNP,Union Pacific,4,1.3,0.0261516797425065,2023-05-18,2023-05-31,2023-06-30
2023-05-30,OTTW,Ottawa Bancorp,4,0.11,0.0419447092469018,2023-05-18,2023-05-31,2023-06-14
2023-05-30,MCI,Barings Corporate,4,0.32,0.0970432145564822,2023-05-18,2023-05-31,2023-06-09
2023-05-30,MPV,Barings Participation,4,0.28,0.0955631399317406,2023-05-18,2023-05-31,2023-06-09
2023-05-30,NC,NACCO Industries,4,0.2175,0.0274015748031496,2023-05-18,2023-05-31,2023-06-15
2023-05-30,SLG,SL Green Realty,12,0.2708,0.1466425992779783,2023-05-18,2023-05-31,2023-06-15
2023-05-30,AGNC,AGNC Investment,12,0.12,0.1538461538461538,2023-05-10,2023-05-31,2023-06-09
2023-05-30,GRP/U,"Granite Real Estate Inc. Stapled Units, each consisting of one unit of Granite Real Estate Trust and one common share of Granite REIT Inc.",12,0.2667,0.0395942100705184,2023-05-17,2023-05-31,2023-06-15
2023-05-30,MTRN,Materion,4,0.13,0.0051020408163265,2023-05-17,2023-05-31,2023-06-15
2023-05-30,CCS,Century Communities,4,0.23,0.0137149672033393,2023-05-17,2023-05-31,2023-06-14
2023-05-30,JACK,Jack In The Box,4,0.44,0.0185908946868068,2023-05-12,2023-05-31,2023-06-13
2023-05-30,NWL,Newell Brands,4,0.07,0.0301724137931034,2023-05-16,2023-05-31,2023-06-15
2023-05-30,EPR,EPR Props,12,0.275,0.080546741518184,2023-05-15,2023-05-31,2023-06-15
2023-05-30,KNSL,Kinsale Cap Gr,4,0.14,0.001698565318936,2023-05-15,2023-05-31,2023-06-13
2023-05-30,COLB,Columbia Banking System,4,0.36,0.0780911062906725,2023-05-15,2023-05-31,2023-06-15
2023-05-30,EA,Electronic Arts,4,0.19,0.0060596396109074,2023-05-08,2023-05-31,2023-06-21
2023-05-30,CSX,CSX,4,0.11,0.0137414116177389,2023-05-10,2023-05-31,2023-06-15
2023-05-30,PFSI,PennyMac Financial Servs,4,0.41,0.024878640776699,2023-04-28,2023-05-31,2023-06-15
2023-05-30,SLF,Sun Life Financial,4,0.75,0.0463606861381548,2023-05-11,2023-05-31,2023-06-30
2023-05-30,CBOE,Cboe Global Markets,4,0.5,0.0144456482484651,2023-05-11,2023-05-31,2023-06-15
2023-05-30,ADC,Agree Realty,12,0.243,0.0432640949554896,2023-05-11,2023-05-31,2023-06-14
2023-05-30,ORC,Orchid Island Cap,12,0.16,0.1935483870967742,2023-05-10,2023-05-31,2023-06-28
2023-05-30,CPA,Copa Holdings,4,0.82,0.0345955068030798,2023-05-10,2023-05-31,2023-06-15
2023-05-30,EAF,GrafTech International,4,0.01,0.0096385542168675,2023-05-10,2023-05-31,2023-06-30
2023-05-30,ICL,ICL Group,4,0.1132,0.0755926544240401,2023-05-10,2023-05-31,2023-06-14
2023-05-30,ARKR,Ark Restaurants,4,0.1875,0.0428326670474015,2023-05-09,2023-05-31,2023-06-13
2023-05-30,ASC,Ardmore Shipping,4,0.35,0.1033210332103321,2023-05-09,2023-05-31,2023-06-15
2023-05-30,EARN,Ellington Residential,12,0.08,0.1385281385281385,2023-05-08,2023-05-31,2023-06-26
2023-05-30,EFC,Ellington Financial,12,0.15,0.1493775933609959,2023-05-08,2023-05-31,2023-06-26
2023-05-30,PTVE,Pactiv Evergreen,4,0.1,0.0576368876080692,2023-05-05,2023-05-31,2023-06-15
2023-05-30,TSLX,Sixth Street Specialty,0,0.04,0.0,2023-05-08,2023-05-31,2023-06-20
2023-05-30,DOV,Dover,4,0.505,0.0142303628038042,2023-05-05,2023-05-31,2023-06-15
2023-05-30,AY,Atlantica Sustainable,4,0.445,0.0704392560348239,2023-05-04,2023-05-31,2023-06-15
2023-05-30,BBUC,Brookfield Business,4,0.0625,0.0141562853907135,2023-05-05,2023-05-31,2023-06-30
2023-05-30,BEP,Brookfield Renewable,4,0.3375,0.0457162207924145,2023-05-05,2023-05-31,2023-06-30
2023-05-30,BEPC,Brookfield Renewable,4,0.3375,0.0419384902143523,2023-05-05,2023-05-31,2023-06-30
2023-05-30,ERF,Enerplus,4,0.055,0.0157819225251076,2023-05-04,2023-05-31,2023-06-15
2023-05-30,POWI,Power Integrations,4,0.19,0.0101740294511379,2023-05-04,2023-05-31,2023-06-30
2023-05-30,RLI,RLI,4,0.27,0.0077430455979352,2023-05-04,2023-05-31,2023-06-20
2023-05-30,FDS,FactSet Research Systems,4,0.98,0.0099580845929125,2023-05-04,2023-05-31,2023-06-15
2023-05-30,BIP,Brookfield Infr Partners,4,0.3825,0.0447237649809997,2023-05-03,2023-05-31,2023-06-30
2023-05-30,EL,Estee Lauder Cos,4,0.66,0.0107658429165647,2023-05-03,2023-05-31,2023-06-15
2023-05-30,GOLD,Barrick Gold,4,0.1,0.0202122283981809,2023-05-03,2023-05-31,2023-06-15
2023-05-30,ACT,Enact Holdings,4,0.16,0.0265120132560066,2023-05-01,2023-05-31,2023-06-14
2023-05-30,NPO,EnPro Indus,4,0.29,0.0121593291404612,2023-04-28,2023-05-31,2023-06-14
2023-05-30,PFIS,Peoples Financial Servs,4,0.41,0.0404938271604938,2023-04-28,2023-05-31,2023-06-15
2023-05-30,GLW,Corning,4,0.28,0.0347394540942928,2023-04-27,2023-05-31,2023-06-29
2023-05-30,CFR,Cullen/Frost Bankers,4,0.87,0.0336329370832125,2023-04-27,2023-05-31,2023-06-15
2023-05-30,ARCH,Arch Resources,4,0.25,0.0084097216382138,2023-04-27,2023-05-31,2023-06-15
2023-05-30,ARCH,Arch Resources,0,2.2,0.0,2023-04-27,2023-05-31,2023-06-15
2023-05-30,RAND,Rand Capital,4,0.25,0.0785545954438335,2023-04-26,2023-05-31,2023-06-14
2023-05-30,FCNCA,First Citizens BancShares,4,0.75,0.0029514777065051,2023-04-25,2023-05-31,2023-06-15
2023-05-30,CPF,Central Pacific Financial,4,0.26,0.0683760683760684,2023-04-26,2023-05-31,2023-06-15
2023-05-30,TNC,Tennant,4,0.265,0.0156296077853141,2023-04-25,2023-05-31,2023-06-15
2023-05-30,SCL,Stepan,4,0.365,0.0148103063501724,2023-04-24,2023-05-31,2023-06-15
2023-05-30,BOH,Bank of Hawaii,4,0.7,0.0573770491803279,2023-04-24,2023-05-31,2023-06-14
2023-05-30,HUBB,Hubbell,4,1.12,0.0193847085803297,2023-04-21,2023-05-31,2023-06-15
2023-05-30,UBOH,United Bancshares,4,0.22,0.0452674897119342,2023-04-20,2023-05-31,2023-06-15
2023-05-30,SCM,Stellus Cap Investment,12,0.1333,0.1163345454545455,2023-04-19,2023-05-31,2023-06-15
2023-05-30,DD,DuPont de Nemours,4,0.36,0.0201033086695519,2023-04-19,2023-05-31,2023-06-15
2023-05-30,STAG,Stag Industrial,12,0.1225,0.0446944359987838,2023-04-11,2023-05-31,2023-06-15
2023-05-30,MLAB,Mesa Laboratories,4,0.16,0.0036627940250672,2023-04-03,2023-05-31,2023-06-15
2023-05-30,MDV,Modiv,12,0.0958,0.1039421338155515,2023-03-14,2023-05-31,2023-06-26
2023-05-30,DNP,DNP Select Inc Fund,12,0.065,0.0702070207020702,2023-03-15,2023-05-31,2023-06-12
2023-05-26,CABO,Cable One,4,2.85,0.016832531081121,2023-05-19,2023-05-30,2023-06-16
2023-05-26,YUM,Yum Brands,4,0.605,0.0174792343806428,2023-05-19,2023-05-30,2023-06-09
2023-05-26,LYB,LyondellBasell Industries,4,1.25,0.0555308751665926,2023-05-19,2023-05-30,2023-06-06
2023-05-26,CATY,Cathay General,4,0.34,0.0442708333333333,2023-05-18,2023-05-30,2023-06-09
2023-05-26,NEE,NextEra Energy,4,0.4675,0.024820812317494,2023-05-18,2023-05-30,2023-06-15
2023-05-26,XYL,Xylem,4,0.33,0.0126984126984127,2023-05-18,2023-05-30,2023-06-28
2023-05-26,CRI,Carter's,4,0.75,0.046801872074883,2023-05-18,2023-05-30,2023-06-09
2023-05-26,TFSL,TFS Financial,4,0.2825,0.0975820379965458,2023-05-18,2023-05-30,2023-06-13
2023-05-26,WAB,Westinghouse Air Brake,4,0.17,0.0070349679288227,2023-05-17,2023-05-30,2023-06-09
2023-05-26,RDN,Radian Group,4,0.225,0.0360432519022827,2023-05-17,2023-05-30,2023-06-14
2023-05-26,JWN,Nordstrom,4,0.19,0.0524137931034483,2023-05-17,2023-05-30,2023-06-14
2023-05-26,MKSI,MKS Instruments,4,0.22,0.0104240701255627,2023-05-17,2023-05-30,2023-06-09
2023-05-26,NOC,Northrop Grumman,4,1.87,0.01702437581082,2023-05-16,2023-05-30,2023-06-14
2023-05-26,BKR,Baker Hughes,4,0.19,0.027249910362137,2023-05-16,2023-05-30,2023-06-09
2023-05-26,AIZ,Assurant,4,0.7,0.0216701493692439,2023-05-11,2023-05-30,2023-06-20
2023-05-26,KEY,KeyCorp,4,0.205,0.0879828326180258,2023-05-11,2023-05-30,2023-06-15
2023-05-26,TSCO,Tractor Supply,4,1.03,0.0168942469348423,2023-05-11,2023-05-30,2023-06-13
2023-05-26,WHD,Cactus,4,0.11,0.011491250979368,2023-05-09,2023-05-30,2023-06-15
2023-05-26,ADEA,Adeia,4,0.05,0.0276243093922652,2023-05-08,2023-05-30,2023-06-20
2023-05-26,SWKS,Skyworks Solutions,4,0.62,0.0238186707645025,2023-05-08,2023-05-30,2023-06-20
2023-05-26,NGVC,Natural Grocers,4,0.1,0.0380952380952381,2023-05-04,2023-05-30,2023-06-14
2023-05-26,CRAI,CRA Intl,4,0.36,0.0138835325877362,2023-05-04,2023-05-30,2023-06-09
2023-05-26,SBGI,Sinclair Broadcast Group,4,0.25,0.0536193029490617,2023-05-03,2023-05-30,2023-06-15
2023-05-26,YUMC,Yum China Holdings,4,0.13,0.0083776381504753,2023-05-02,2023-05-30,2023-06-20
