Ex_date,Ticker,Company,Payment_per_year,Dividend,Yield,Announced,Record,Payable
5/30/2023,RE,Everest Re Group,4,1.65,0.017886179,5/18/2023,5/31/2023,6/16/2023
5/30/2023,UNP,Union Pacific,4,1.3,0.02615168,5/18/2023,5/31/2023,6/30/2023
5/30/2023,OTTW,Ottawa Bancorp,4,0.11,0.041944709,5/18/2023,5/31/2023,6/14/2023
5/30/2023,MCI,Barings Corporate,4,0.32,0.097043215,5/18/2023,5/31/2023,6/9/2023
5/30/2023,MPV,Barings Participation,4,0.28,0.09556314,5/18/2023,5/31/2023,6/9/2023
5/30/2023,NC,NACCO Industries,4,0.2175,0.027401575,5/18/2023,5/31/2023,6/15/2023
5/30/2023,SLG,SL Green Realty,12,0.2708,0.146642599,5/18/2023,5/31/2023,6/15/2023
5/30/2023,AGNC,AGNC Investment,12,0.12,0.153846154,5/10/2023,5/31/2023,6/9/2023
5/30/2023,GRP/U,"Granite Real Estate Inc. Stapled Units, each consisting of one unit of Granite Real Estate Trust and one common share of Granite REIT Inc.",12,0.2667,0.03959421,5/17/2023,5/31/2023,6/15/2023
5/30/2023,MTRN,Materion,4,0.13,0.005102041,5/17/2023,5/31/2023,6/15/2023
5/30/2023,CCS,Century Communities,4,0.23,0.013714967,5/17/2023,5/31/2023,6/14/2023
5/30/2023,JACK,Jack In The Box,4,0.44,0.018590895,5/12/2023,5/31/2023,6/13/2023
5/30/2023,NWL,Newell Brands,4,0.07,0.030172414,5/16/2023,5/31/2023,6/15/2023
5/30/2023,EPR,EPR Props,12,0.275,0.080546742,5/15/2023,5/31/2023,6/15/2023
5/30/2023,KNSL,Kinsale Cap Gr,4,0.14,0.001698565,5/15/2023,5/31/2023,6/13/2023
5/30/2023,COLB,Columbia Banking System,4,0.36,0.078091106,5/15/2023,5/31/2023,6/15/2023
5/30/2023,EA,Electronic Arts,4,0.19,0.00605964,5/8/2023,5/31/2023,6/21/2023
5/30/2023,CSX,CSX,4,0.11,0.013741412,5/10/2023,5/31/2023,6/15/2023
5/30/2023,PFSI,PennyMac Financial Servs,4,0.41,0.024878641,4/28/2023,5/31/2023,6/15/2023
5/30/2023,SLF,Sun Life Financial,4,0.75,0.046360686,5/11/2023,5/31/2023,6/30/2023
5/30/2023,CBOE,Cboe Global Markets,4,0.5,0.014445648,5/11/2023,5/31/2023,6/15/2023
5/30/2023,ADC,Agree Realty,12,0.243,0.043264095,5/11/2023,5/31/2023,6/14/2023
5/30/2023,ORC,Orchid Island Cap,12,0.16,0.193548387,5/10/2023,5/31/2023,6/28/2023
5/30/2023,CPA,Copa Holdings,4,0.82,0.034595507,5/10/2023,5/31/2023,6/15/2023
5/30/2023,EAF,GrafTech International,4,0.01,0.009638554,5/10/2023,5/31/2023,6/30/2023
5/30/2023,ICL,ICL Group,4,0.1132,0.075592654,5/10/2023,5/31/2023,6/14/2023
5/30/2023,ARKR,Ark Restaurants,4,0.1875,0.042832667,5/9/2023,5/31/2023,6/13/2023
5/30/2023,ASC,Ardmore Shipping,4,0.35,0.103321033,5/9/2023,5/31/2023,6/15/2023
5/30/2023,EARN,Ellington Residential,12,0.08,0.138528139,5/8/2023,5/31/2023,6/26/2023
5/30/2023,EFC,Ellington Financial,12,0.15,0.149377593,5/8/2023,5/31/2023,6/26/2023
5/30/2023,PTVE,Pactiv Evergreen,4,0.1,0.057636888,5/5/2023,5/31/2023,6/15/2023
5/30/2023,TSLX,Sixth Street Specialty,0,0.04,0,5/8/2023,5/31/2023,6/20/2023
5/30/2023,DOV,Dover,4,0.505,0.014230363,5/5/2023,5/31/2023,6/15/2023
5/30/2023,AY,Atlantica Sustainable,4,0.445,0.070439256,5/4/2023,5/31/2023,6/15/2023
5/30/2023,BBUC,Brookfield Business,4,0.0625,0.014156285,5/5/2023,5/31/2023,6/30/2023
5/30/2023,BEP,Brookfield Renewable,4,0.3375,0.045716221,5/5/2023,5/31/2023,6/30/2023
5/30/2023,BEPC,Brookfield Renewable,4,0.3375,0.04193849,5/5/2023,5/31/2023,6/30/2023
5/30/2023,ERF,Enerplus,4,0.055,0.015781923,5/4/2023,5/31/2023,6/15/2023
5/30/2023,POWI,Power Integrations,4,0.19,0.010174029,5/4/2023,5/31/2023,6/30/2023
5/30/2023,RLI,RLI,4,0.27,0.007743046,5/4/2023,5/31/2023,6/20/2023
5/30/2023,FDS,FactSet Research Systems,4,0.98,0.009958085,5/4/2023,5/31/2023,6/15/2023
5/30/2023,BIP,Brookfield Infr Partners,4,0.3825,0.044723765,5/3/2023,5/31/2023,6/30/2023
5/30/2023,EL,Estee Lauder Cos,4,0.66,0.010765843,5/3/2023,5/31/2023,6/15/2023
5/30/2023,GOLD,Barrick Gold,4,0.1,0.020212228,5/3/2023,5/31/2023,6/15/2023
5/30/2023,ACT,Enact Holdings,4,0.16,0.026512013,5/1/2023,5/31/2023,6/14/2023
5/30/2023,NPO,EnPro Indus,4,0.29,0.012159329,4/28/2023,5/31/2023,6/14/2023
5/30/2023,PFIS,Peoples Financial Servs,4,0.41,0.040493827,4/28/2023,5/31/2023,6/15/2023
5/30/2023,GLW,Corning,4,0.28,0.034739454,4/27/2023,5/31/2023,6/29/2023
5/30/2023,CFR,Cullen/Frost Bankers,4,0.87,0.033632937,4/27/2023,5/31/2023,6/15/2023
5/30/2023,ARCH,Arch Resources,4,0.25,0.008409722,4/27/2023,5/31/2023,6/15/2023
5/30/2023,ARCH,Arch Resources,0,2.2,0,4/27/2023,5/31/2023,6/15/2023
5/30/2023,RAND,Rand Capital,4,0.25,0.078554595,4/26/2023,5/31/2023,6/14/2023
5/30/2023,FCNCA,First Citizens BancShares,4,0.75,0.002951478,4/25/2023,5/31/2023,6/15/2023
5/30/2023,CPF,Central Pacific Financial,4,0.26,0.068376068,4/26/2023,5/31/2023,6/15/2023
5/30/2023,TNC,Tennant,4,0.265,0.015629608,4/25/2023,5/31/2023,6/15/2023
5/30/2023,SCL,Stepan,4,0.365,0.014810306,4/24/2023,5/31/2023,6/15/2023
5/30/2023,BOH,Bank of Hawaii,4,0.7,0.057377049,4/24/2023,5/31/2023,6/14/2023
5/30/2023,HUBB,Hubbell,4,1.12,0.019384709,4/21/2023,5/31/2023,6/15/2023
5/30/2023,UBOH,United Bancshares,4,0.22,0.04526749,4/20/2023,5/31/2023,6/15/2023
5/30/2023,SCM,Stellus Cap Investment,12,0.1333,0.116334545,4/19/2023,5/31/2023,6/15/2023
5/30/2023,DD,DuPont de Nemours,4,0.36,0.020103309,4/19/2023,5/31/2023,6/15/2023
5/30/2023,STAG,Stag Industrial,12,0.1225,0.044694436,4/11/2023,5/31/2023,6/15/2023
5/30/2023,MLAB,Mesa Laboratories,4,0.16,0.003662794,4/3/2023,5/31/2023,6/15/2023
5/30/2023,MDV,Modiv,12,0.0958,0.103942134,3/14/2023,5/31/2023,6/26/2023
5/30/2023,DNP,DNP Select Inc Fund,12,0.065,0.070207021,3/15/2023,5/31/2023,6/12/2023
5/26/2023,CABO,Cable One,4,2.85,0.016832531,5/19/2023,5/30/2023,6/16/2023
5/26/2023,YUM,Yum Brands,4,0.605,0.017479234,5/19/2023,5/30/2023,6/9/2023
5/26/2023,LYB,LyondellBasell Industries,4,1.25,0.055530875,5/19/2023,5/30/2023,6/6/2023
5/26/2023,CATY,Cathay General,4,0.34,0.044270833,5/18/2023,5/30/2023,6/9/2023
5/26/2023,NEE,NextEra Energy,4,0.4675,0.024820812,5/18/2023,5/30/2023,6/15/2023
5/26/2023,XYL,Xylem,4,0.33,0.012698413,5/18/2023,5/30/2023,6/28/2023
5/26/2023,CRI,Carter's,4,0.75,0.046801872,5/18/2023,5/30/2023,6/9/2023
5/26/2023,TFSL,TFS Financial,4,0.2825,0.097582038,5/18/2023,5/30/2023,6/13/2023
5/26/2023,WAB,Westinghouse Air Brake,4,0.17,0.007034968,5/17/2023,5/30/2023,6/9/2023
5/26/2023,RDN,Radian Group,4,0.225,0.036043252,5/17/2023,5/30/2023,6/14/2023
5/26/2023,JWN,Nordstrom,4,0.19,0.052413793,5/17/2023,5/30/2023,6/14/2023
5/26/2023,MKSI,MKS Instruments,4,0.22,0.01042407,5/17/2023,5/30/2023,6/9/2023
5/26/2023,NOC,Northrop Grumman,4,1.87,0.017024376,5/16/2023,5/30/2023,6/14/2023
5/26/2023,BKR,Baker Hughes,4,0.19,0.02724991,5/16/2023,5/30/2023,6/9/2023
5/26/2023,AIZ,Assurant,4,0.7,0.021670149,5/11/2023,5/30/2023,6/20/2023
5/26/2023,KEY,KeyCorp,4,0.205,0.087982833,5/11/2023,5/30/2023,6/15/2023
5/26/2023,TSCO,Tractor Supply,4,1.03,0.016894247,5/11/2023,5/30/2023,6/13/2023
5/26/2023,WHD,Cactus,4,0.11,0.011491251,5/9/2023,5/30/2023,6/15/2023
5/26/2023,ADEA,Adeia,4,0.05,0.027624309,5/8/2023,5/30/2023,6/20/2023
5/26/2023,SWKS,Skyworks Solutions,4,0.62,0.023818671,5/8/2023,5/30/2023,6/20/2023
5/26/2023,NGVC,Natural Grocers,4,0.1,0.038095238,5/4/2023,5/30/2023,6/14/2023
5/26/2023,CRAI,CRA Intl,4,0.36,0.013883533,5/4/2023,5/30/2023,6/9/2023
5/26/2023,SBGI,Sinclair Broadcast Group,4,0.25,0.053619303,5/3/2023,5/30/2023,6/15/2023
5/26/2023,YUMC,Yum China Holdings,4,0.13,0.008377638,5/2/2023,5/30/2023,6/20/2023
5/25/2023,GOGL,Golden Ocean Group,4,0.1,0.046838407,5/16/2023,5/26/2023,6/6/2023
5/25/2023,VTYB,Victory Bancorp,4,0.065,0.020950846,5/17/2023,5/27/2023,6/14/2023
5/25/2023,CNAF,Comml National Finl,4,0.26,0.106122449,5/16/2023,5/26/2023,6/2/2023
5/25/2023,FBIN,Fortune Brands,4,0.23,0.014000913,5/16/2023,5/26/2023,6/14/2023
5/25/2023,DAC,Danaos,4,0.75,0.053022269,5/15/2023,5/26/2023,6/7/2023
5/25/2023,JKHY,Jack Henry & Associates,4,0.52,0.013349592,5/15/2023,5/26/2023,6/15/2023
5/25/2023,FXNC,First Ntl,4,0.15,0.042105263,5/10/2023,5/26/2023,6/9/2023
5/25/2023,CGAU,Centerra Gold,4,0.07,0.031145717,5/15/2023,5/29/2023,6/12/2023
5/25/2023,PSEC,Prospect Capital,12,0.06,0.106351551,4/28/2023,5/26/2023,6/21/2023
5/25/2023,VMC,Vulcan Materials,4,0.43,0.008828209,5/12/2023,5/26/2023,6/9/2023
